Time	Record	Normalized_X	Normalized_Y	X	Y
123490	123170	0.410423795728	0.434553627134	572	395
123490	123303	0.399068541674	0.611966875814	562	488
123490	123670	0.402366554345	0.636648183821	564	501
123490	123903	1.04350283567	0.362069903361	1013	365
123490	124137	0.343498855091	0.474269732176	525	415
123490	124270	0.362677271337	0.502375605642	538	430
125792	125003	0.384601220773	0.522796100986	553	441
125792	125803	0.402366554345	0.636648183821	564	501
125792	126037	0.466666910031	0.358906895972	612	356
125792	126170	0.48963863813	0.356445475123	628	355
125792	126470	0.733083585075	0.293404376027	798	325
125792	126670	0.546141742778	0.296030125668	668	324
127127	127137	0.53944040377	0.324763184536	663	339
127127	127437	0.26334154769	0.497164125499	469	426
128628	128403	0.304419231865	0.459979128573	498	407
128628	128737	0.560974367689	0.322336607321	678	338
128628	129270	0.532674067175	0.349688397978	658	352
128628	129403	0.415086757707	0.539199689103	574	450
128628	129537	0.429756888653	0.555986557189	584	459
132332	129637	0.429756888653	0.555986557189	584	459
132332	131337	0.467341567398	0.482696715976	611	421
132332	131403	0.459169965416	0.509560695764	605	435
132332	131937	0.467699054122	0.503639865823	611	432
132332	132270	0.43162495443	0.496895265807	586	428
133433	133403	0.465708810459	0.471308023329	610	415
133433	133770	0.456252891328	0.254400208537	606	301
135602	134803	0.508419251574	0.44551171905	640	402
135602	135037	0.62591029431	0.587422354588	720	478
135602	135503	0.637899889652	0.615702446221	728	493
137437	136903	0.252326916139	0.526001715268	461	441
137437	137037	0.59904652833	0.277605606808	705	315
137437	137303	0.639636730609	0.211861769182	734	281
137437	137803	0.609533361905	0.302112696648	712	328
137437	137970	0.630392668456	0.175896299428	728	262
137437	138270	0.626371865052	0.193136134749	725	271
139506	138470	0.627614636474	0.181677754836	726	265
139506	138937	0.212573865193	0.725054986465	431	545
139506	139270	0.31037432828	0.724589542101	499	546
139506	139970	0.675670514222	0.300509889507	758	328
139506	140103	0.618802105565	0.423789532137	717	392
140907	140537	0.618802105565	0.423789532137	717	392
140907	140703	0.238233946182	0.627292899046	450	494
140907	141103	0.29517639936	0.761147353624	488	565
143810	142837	0.631522308927	0.32634103742	727	341
143810	143070	0.63230227996	0.372035182541	727	365
143810	143237	0.632107287202	0.360611646261	727	359
143810	143903	0.448098153566	0.450782997084	598	404
143810	144137	0.451233672272	0.465944691524	600	412
143810	144503	0.464693530588	0.496093862237	609	428
143810	144637	0.471062064379	0.532129019257	613	447
143810	144770	0.465343506449	0.534172316504	609	448
146713	145870	0.465806306838	0.477019791469	610	418
146713	146170	0.470379589725	0.492146642276	613	426
146713	146870	0.46635878632	0.509386477597	610	435
146713	147437	0.446490078134	0.525105670173	596	443
146713	147603	0.319959012937	0.611979352943	507	487
146713	147703	0.335969411684	0.623019609255	518	493
147914	147737	0.335969411684	0.623019609255	518	493
147914	147870	0.452053959385	0.429735316336	601	393
147914	147970	0.479891459509	0.459536050714	620	409
147914	148170	0.666898299392	0.4607181465	750	412
147914	148637	0.416037039992	0.510606004769	575	435
147914	148903	0.55275463234	0.514911550441	670	439
149782	148937	0.55275463234	0.514911550441	670	439
149782	149103	0.921625685518	0.30026339632	929	331
149782	149770	0.225196572176	0.621894723607	441	491
149782	149970	0.238071452217	0.617773285479	450	489
149782	150270	0.241434462475	0.646262438913	452	504
149782	150437	0.64692427754	0.554533013958	735	461
150850	151170	0.21941301666	0.620130175428	437	490
152485	151937	0.27986410984	0.622474588248	479	492
152485	152137	0.485520338346	0.367973542304	625	361
152485	152937	0.479257118221	0.253842710401	622	301
152485	153403	0.443589868265	0.439463991704	595	398
153620	153503	0.470614898563	0.421666658247	614	389
153620	154270	0.634016898706	0.556750529373	726	462
153620	154570	0.475358492702	0.362505679598	618	358
155622	154970	0.478526510201	0.379571296752	620	367
155622	155737	0.479549607358	0.270978014821	622	310
155622	156337	0.254097485537	0.461198655746	463	407
155622	156537	0.230110477566	0.488445915503	446	421
156189	156637	0.208316523303	0.475641111011	431	414
156189	156803	0.190998355547	0.472251389186	419	412
156189	157070	0.167831634689	0.463289273755	403	407
161161	160170	0.597333139232	0.43002395478	702	395
161161	160370	0.431714633522	0.58641447697	585	475
161161	160803	0.590412125959	0.361622111632	698	359
161161	161137	0.492733840757	0.453510689872	629	406
161161	161270	0.513155028426	0.470158183424	643	415
161161	161537	0.636339947585	0.524314155978	728	445
161161	161837	0.43125965042	0.559759558982	585	461
163863	163337	0.512139748555	0.494944022331	642	428
163863	163603	0.68624702689	0.414536190509	764	388
163863	163870	0.434565480377	0.500633423967	588	430
163863	164070	0.456554427399	0.524861764738	603	443
163863	164270	0.453223915935	0.498276534018	601	429
163863	164670	0.463060773649	0.48470516959	608	422
166132	164870	0.566734471345	0.575523484568	679	471
166132	165170	0.436108558224	0.422502905451	590	389
166132	165403	0.851914895613	0.429568399791	879	398
166132	165737	0.784892458597	0.463572736693	832	415
166132	166370	0.392415336031	0.474988971351	559	416
166132	167003	0.496251527693	0.575326899896	630	470
168034	167137	0.496251527693	0.575326899896	630	470
168034	167237	0.504650621227	0.561790379101	636	463
168034	167403	0.393032813099	0.511163502905	559	435
168034	167937	0.427474155853	0.506519410274	583	433
168034	168303	0.440479031066	0.510013663	592	435
171971	171070	0.435045144987	0.61299970769	587	489
171971	171470	0.461647690975	0.570451378959	606	467
171971	171737	0.678360096759	0.542342917741	757	455
171971	172103	0.258102654369	0.61157370647	464	486
171971	172537	0.708293154211	0.52637981973	778	447
177043	173003	0.708293154211	0.52637981973	778	447
177043	176070	0.390644766634	0.539792030873	557	450
177043	176603	0.254625283513	0.407853976137	464	379
177043	177570	0.664460889913	0.317923942996	750	337
178211	178103	0.351190792464	0.335039468664	532	342
178211	178203	0.367461181555	0.361311106683	543	356
178211	178703	0.460615546884	0.425718409108	607	391
178211	179137	0.274388678034	0.470230458444	477	412
180446	179237	0.274388678034	0.470230458444	477	412
180446	179570	0.447415678912	0.410800620103	598	383
180446	179903	0.620849529527	0.543736663081	717	455
180446	180303	0.38489370991	0.539931405407	553	450
180446	180537	0.389661985556	0.566481792494	556	464
180446	180737	0.386948951159	0.576071093328	554	469
180446	181103	0.36620277556	0.540384372642	540	450
180446	181403	0.377444898662	0.524874241867	548	442
181781	181470	0.377444898662	0.524874241867	548	442
181781	181537	0.398913864995	0.518639819225	563	439
181781	181937	0.657142073837	0.31048247031	745	333
181781	182137	0.732783278651	0.360076514629	797	360
185285	182803	0.732783278651	0.360076514629	797	360
185285	184303	0.898678638925	0.388436182905	912	377
185285	184903	0.375194664655	0.477311017666	547	417
185285	185237	0.478055892525	0.520531264809	618	441
185285	186237	0.470517402184	0.415954890107	614	386
186386	186470	0.192906737404	0.331256577495	422	338
186386	186870	0.393235623144	0.438779596163	560	397
186386	186970	0.400294448876	0.430989687142	565	393
186386	187137	0.502790372736	0.53707422746	635	450
191558	190570	0.572250219231	0.645864094062	682	508
191558	190970	0.563461140181	0.636553542297	676	503
191558	191237	0.322339242116	0.667158267998	508	516
191558	191437	0.599990222976	0.6699530603	701	521
191558	192403	0.479923958302	0.461439973427	620	410
192592	192603	0.540749402425	0.654246344853	660	512
192592	192870	0.266306755144	0.586613649395	470	473
192592	193003	0.286500451262	0.589933683953	484	475
192592	193203	0.299310333717	0.582004400398	493	471
192592	193570	0.62934611944	0.535911910426	723	451
201467	193603	0.62934611944	0.535911910426	723	451
201467	200470	0.350005201341	0.434113137028	530	394
201467	200603	0.355951250823	0.445397298774	534	400
201467	200737	0.192143630591	0.455081241133	420	403
201467	201070	0.196554419512	0.460688478372	423	406
201467	201270	0.356601226684	0.483475753042	534	420
201467	201603	0.718405636843	0.360424950964	787	360
201467	201870	0.532763746268	0.439207609141	657	399
201467	202370	0.505786849336	0.291293979266	640	321
202936	202470	0.505786849336	0.291293979266	640	321
202936	202703	0.38802141133	0.63890054287	554	502
202936	203137	0.616787180395	0.305746323907	717	330
202936	203470	0.525997409674	0.464132822582	652	412
202936	203670	0.372790983616	0.673554431679	543	520
202936	203837	0.384228099476	0.669467837184	551	518
207373	203937	0.384228099476	0.669467837184	551	518
207373	206403	0.467073759767	0.551272777291	610	457
207373	206670	0.404917094776	0.61753926942	566	491
207373	207203	0.478055892525	0.520531264809	618	441
207373	207637	0.464921022139	0.50942132123	609	435
207373	207870	0.231840730885	0.50554637629	447	430
207373	208037	0.234391271316	0.486437461889	449	420
