RecordingTimestamp	GazePointX (ADCSpx)	GazePointY (ADCSpx)	IRMarkerID	
3800			11, 14, 15, 18, 19, 29	
3833			11, 14, 15, 17, 18, 19, 29	
3867			11, 14, 15, 18, 29	
3900			11, 14, 15, 17, 18, 19, 29	
3933			11, 14, 15, 18, 29	
3967			11, 13, 14, 15, 17, 18, 29	
4000			11, 13, 14, 15, 18, 29	
4033	396	244	11, 13, 14, 15, 17, 18, 29	
4067			11, 13, 14, 15, 18, 29	
4100			11, 13, 14, 15, 17, 18, 29	
4133			11, 13, 14, 15, 18, 29	
4167	381	298	11, 13, 14, 15, 17, 18, 29	
4200	381	245	11, 13, 14, 15, 18, 29	
4233	385	233	11, 13, 14, 15, 17, 18, 20, 29	
4267	386	239	11, 13, 14, 15, 18, 29	
4300	390	234	11, 13, 14, 15, 17, 18, 20, 29	
4333	386	237	11, 13, 14, 15, 18, 29	
4367	383	233	11, 13, 14, 15, 18, 20, 29	
4400	383	233	11, 13, 14, 15, 17, 18, 29	
4433	382	237	11, 13, 14, 15, 18, 20, 29	
4467	379	234	11, 13, 14, 15, 17, 18, 29	
4500	375	236	11, 13, 14, 15, 18, 20, 29	
4533	384	265	11, 13, 14, 15, 17, 18, 29	
4567	382	261	11, 13, 14, 15, 18, 20, 29	
4600	383	256	11, 13, 14, 15, 17, 18, 29	
4633	383	250	11, 13, 14, 15, 17, 18, 29	
4667	385	247	11, 13, 14, 15, 17, 18, 29	
4700	391	252	11, 13, 14, 15, 17, 18, 29	
4733	392	254	11, 13, 14, 15, 17, 18, 29	
4767	392	255	11, 13, 14, 15, 17, 18, 29	
4800	393	254	11, 13, 14, 15, 17, 18, 29, 30	
4833	394	255	11, 13, 14, 15, 17, 18, 29	
4867	391	253	11, 13, 14, 15, 17, 18, 29, 30	
4900	389	252	11, 13, 14, 15, 17, 18, 29	
4933	387	250	11, 13, 14, 15, 17, 18, 29	
4967	385	249	11, 13, 14, 15, 17, 18, 29	
5000	383	248	11, 13, 14, 15, 17, 18, 29	
